,name,team,rating,position,pace,acceleration,sprint_speed,shooting,positioning,finishing,long_shot,penalties,shot_power,volleys,passing,crossing,curve,freekick_accuracy,longpass,shortpass,vision,dribbling,agility,balance,ball_control,reactions,composure,defending,heading_accuracy,interceptions_x,marking,stand_tackle,slide_tackle,physicality,aggression,jumping,stamina,strength,clean sheets,goals conceded,tackles,tackle success,last man tackles,blocked shots,interceptions_y,clearances,headed clearance,clearances off line,recoveries,duels won,duels lost,successful 50/50,aerial battles won,aerial battles lost,own goals,errors leading to goal,assists,passes,passes per match,big chances created,crosses,cross accuracy,through balls,accurate long balls,yellow cards,red cards,fouls,offsides,goals,headed goals,goals with right foot,goals with left foot,hit woodwork
110,Adrian Mariappa,Watford,72,RB,73.0,75,71,37.66666667,53,27,34,44,47,21,49.0,57,33,22,61,63,58,59,68,76,65,73,0,74.4,76,65,76,76,79,72.5,58,80,75,77,26.0,196.0,245.0,0.71,5.0,7.0,216.0,670.0,288.0,7.0,378.0,648.0,481.0,27.0,308.0,233.0,0.0,3.0,1.0,3545.0,27.7,1.0,99.0,0.22,2.0,214.0,20.0,0.0,100.0,7.0,2.0,2.0,0.0,0.0,2.0
111,Cuco Martina,Southampton,71,RB,73.0,72,74,53.0,53,45,64,51,61,44,59.33333333,70,60,45,60,62,59,62,70,60,61,71,0,70.0,65,69,70,74,72,76.25,71,85,77,72,1.0,6.0,11.0,0.82,0.0,0.0,15.0,16.0,6.0,0.0,26.0,21.0,19.0,1.0,4.0,8.0,0.0,0.0,0.0,307.0,34.11,0.0,37.0,0.24,0.0,14.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
112,James Tarkowski,Burnley,71,CB,67.5,67,68,24.33333333,18,21,23,34,33,17,44.66666667,29,27,57,60,62,33,58,62,63,65,61,0,71.4,72,69,70,75,71,70.0,65,72,68,75,1.0,11.0,19.0,0.74,0.0,2.0,11.0,37.0,20.0,0.0,31.0,56.0,40.0,3.0,26.0,19.0,0.0,0.0,0.0,263.0,13.84,0.0,2.0,0.0,0.0,24.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
113,Tyrone Mings,Bournemouth,71,LB,78.5,79,78,37.5,57,35,30,32,41,30,54.0,69,45,37,59,60,54,68,73,54,65,67,0,68.2,63,70,67,71,70,73.25,71,64,79,79,0.0,16.0,10.0,1.0,0.0,0.0,5.0,40.0,20.0,0.0,39.0,30.0,27.0,2.0,14.0,14.0,2.0,0.0,0.0,303.0,43.29,1.0,1.0,1.0,0.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Jeffrey Schlupp,Leicester City,70,LB,88.0,87,89,63.33333333,65,56,53,68,74,64,57.16666667,64,62,34,55,65,63,74,79,80,71,68,0,65.0,62,65,65,67,66,75.75,68,77,76,82,3.0,17.0,35.0,0.8,0.0,2.0,26.0,49.0,26.0,0.0,72.0,83.0,62.0,15.0,23.0,18.0,0.0,0.0,0.0,349.0,18.37,0.0,15.0,0.13,0.0,27.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Marcin Wasilewski,Leicester City,70,CB,37.0,30,44,55.16666667,49,47,52,69,77,37,55.83333333,64,53,65,53,57,43,37,33,34,46,61,0,69.8,76,69,67,68,69,65.75,89,55,34,85,0.0,2.0,2.0,0.5,0.0,0.0,2.0,2.0,2.0,0.0,6.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Stephen Kingsley,Swansea City,70,LB,73.5,74,73,41.33333333,67,33,32,46,45,25,65.33333333,74,73,68,55,67,55,69,76,74,67,62,0,67.2,58,65,70,73,70,68.5,60,79,74,61,3.0,20.0,12.0,0.83,0.0,0.0,8.0,24.0,6.0,0.0,67.0,32.0,26.0,6.0,7.0,12.0,0.0,0.0,0.0,434.0,33.38,0.0,47.0,0.21,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Alfie Mawson,Swansea City,69,CB,56.5,55,58,32.16666667,25,41,16,32,43,36,34.33333333,23,22,24,52,59,26,47,50,51,60,64,0,68.6,76,64,70,68,65,70.25,63,78,60,80,7.0,45.0,29.0,0.79,1.0,4.0,30.0,169.0,95.0,0.0,137.0,148.0,82.0,19.0,84.0,52.0,2.0,1.0,0.0,1218.0,45.11,1.0,1.0,0.0,1.0,163.0,1.0,0.0,10.0,0.0,4.0,3.0,1.0,0.0,2.0
118,Ben Chilwell, Leicester City,68,LB,79.0,81,77,44.33333333,65,38,35,50,39,39,60.16666667,66,60,46,59,65,65,70,69,64,68,64,0,63.0,55,61,65,67,67,64.25,59,70,69,59,1.0,18.0,23.0,0.78,0.0,2.0,23.0,16.0,8.0,0.0,54.0,76.0,51.0,11.0,27.0,18.0,0.0,0.0,0.0,301.0,25.08,1.0,18.0,0.06,2.0,14.0,2.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0
119,Axel Tuanzebe,Manchester United,68,CB,75.5,74,77,37.33333333,31,26,34,50,46,37,42.5,33,36,37,49,65,35,60,62,65,59,60,0,65.8,68,62,66,66,67,72.25,72,77,66,74,1.0,4.0,9.0,0.56,0.0,1.0,7.0,8.0,6.0,0.0,13.0,16.0,17.0,1.0,2.0,5.0,0.0,0.0,0.0,143.0,35.75,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Matt Targett,Southampton,68,LB,77.5,77,78,40.83333333,49,36,38,51,34,37,60.16666667,70,63,62,62,64,40,64,72,65,61,57,0,65.0,56,66,64,71,68,63.75,63,61,68,63,1.0,4.0,10.0,0.8,0.0,0.0,8.0,10.0,4.0,0.0,24.0,22.0,10.0,1.0,8.0,5.0,0.0,0.0,0.0,205.0,41.0,0.0,25.0,0.16,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Brendan Galloway,West Bromwich Albion,68,LB,80.5,79,82,40.0,43,30,40,44,51,32,49.5,54,36,34,55,69,49,49,74,63,68,63,0,65.0,61,60,64,70,70,65.5,62,64,70,66,1.0,3.0,7.0,0.86,0.0,1.0,7.0,6.0,1.0,0.0,18.0,16.0,16.0,3.0,3.0,4.0,0.0,0.0,0.0,59.0,19.67,0.0,3.0,0.33,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Trent Alexander-Arnold,Liverpool,67,RB,83.0,83,83,54.0,62,58,46,55,62,41,61.66666667,66,52,48,67,74,63,65,74,75,60,60,0,60.6,58,57,62,63,63,67.25,67,66,79,57,0.0,2.0,4.0,0.5,0.0,1.0,3.0,11.0,2.0,0.0,9.0,7.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,71.0,10.14,0.0,6.0,0.17,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Rob Holding,Arsenal,67,CB,65.0,64,66,35.0,40,30,27,38,48,27,45.83333333,52,33,30,44,61,55,65,60,71,68,65,0,65.6,64,62,66,69,67,71.0,60,73,76,75,4.0,8.0,12.0,0.75,0.0,2.0,10.0,47.0,24.0,0.0,42.0,48.0,40.0,7.0,27.0,19.0,0.0,0.0,0.0,465.0,51.67,0.0,2.0,1.0,0.0,25.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Craig Dawson,West Bromwich Albion,67,RB,67.0,66,68,43.66666667,56,49,14,66,57,20,45.66666667,51,32,24,62,54,51,46,55,50,67,55,0,73.0,77,70,70,77,71,72.25,68,80,67,74,6.0,50.0,58.0,0.79,0.0,4.0,58.0,149.0,96.0,1.0,148.0,235.0,189.0,14.0,131.0,93.0,0.0,0.0,0.0,1017.0,27.49,0.0,85.0,0.15,1.0,73.0,10.0,0.0,53.0,2.0,4.0,3.0,1.0,0.0,1.0
125,Ezekiel Fryers,Crystal Palace,66,LB,76.0,77,75,39.16666667,49,35,31,43,45,32,52.5,65,54,35,51,63,47,67,72,64,62,66,0,63.2,61,55,67,66,67,70.25,70,76,67,68,0.0,7.0,2.0,0.5,0.0,0.0,1.0,5.0,2.0,0.0,17.0,5.0,14.0,1.0,0.0,3.0,0.0,0.0,1.0,70.0,8.75,1.0,9.0,0.33,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
126,Kevin Long,Burnley,66,CB,53.5,53,54,31.66666667,48,14,25,31,56,16,33.66666667,23,35,32,37,45,30,47,60,51,51,57,0,65.4,65,64,65,66,67,65.5,70,80,34,78,0.0,6.0,4.0,1.0,0.0,0.0,4.0,15.0,6.0,0.0,12.0,15.0,7.0,1.0,8.0,4.0,0.0,0.0,0.0,108.0,36.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Jack Stephens,Southampton,65,CB,61.5,56,67,41.66666667,47,36,42,42,49,34,53.33333333,47,55,58,53,63,44,53,60,59,59,55,0,64.4,59,65,67,67,64,64.5,56,62,66,74,6.0,24.0,22.0,0.68,1.0,1.0,24.0,79.0,45.0,0.0,105.0,64.0,67.0,8.0,29.0,39.0,0.0,0.0,1.0,729.0,42.88,1.0,4.0,0.0,2.0,25.0,1.0,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
128,Mason Holgate,Everton,65,RB,79.5,78,81,43.33333333,50,37,42,40,51,40,46.66666667,40,39,35,57,64,45,60,65,57,63,56,0,63.4,55,56,65,71,70,65.25,57,57,74,73,5.0,18.0,41.0,0.76,0.0,1.0,21.0,67.0,43.0,0.0,81.0,96.0,69.0,7.0,33.0,26.0,0.0,0.0,1.0,643.0,35.72,3.0,48.0,0.13,0.0,35.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Matthew Pennington,Everton,64,CB,58.5,63,54,35.83333333,31,30,26,48,44,36,37.5,31,35,34,39,55,31,46,49,57,50,53,0,62.8,64,59,67,64,60,68.25,60,74,64,75,0.0,6.0,2.0,0.5,0.0,0.0,5.0,11.0,4.0,0.0,10.0,3.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,73.0,24.33,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
130,Ola Aina,Chelsea,63,RB,78.0,77,79,39.83333333,54,33,35,49,32,36,44.33333333,60,42,37,43,46,38,64,63,78,56,56,0,61.2,51,63,62,64,66,61.0,57,61,62,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Joe Maguire,Liverpool,59,LB,71.5,66,77,40.0,54,35,36,42,37,36,45.33333333,57,39,42,49,42,43,61,57,69,47,63,0,56.0,49,62,50,59,60,55.0,56,56,60,48,4.0,53.0,54.0,0.72,0.0,5.0,63.0,141.0,101.0,0.0,148.0,188.0,87.0,29.0,69.0,29.0,0.0,0.0,2.0,1182.0,40.76,1.0,15.0,0.2,1.0,102.0,5.0,0.0,24.0,3.0,2.0,1.0,1.0,0.0,1.0
132,Jonjoe Kenny,Everton,57,RB,61.5,58,65,36.83333333,35,28,30,51,44,33,46.0,46,43,34,50,57,46,47,60,71,52,53,0,57.2,62,50,56,60,58,62.25,59,70,62,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Declan Rice,West Ham United,56,CB,63.5,63,64,30.16666667,32,24,26,30,46,23,31.83333333,30,35,20,33,39,34,37,47,61,40,51,0,56.2,57,50,58,57,59,61.5,53,65,64,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Brandon Mason,Watford,54,LB,78.0,78,78,39.83333333,47,34,38,43,44,33,44.33333333,52,44,48,42,43,37,54,64,72,53,49,0,47.0,36,50,50,50,49,52.75,55,60,54,42,0.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,14.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
